判斷,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼,,,,,,
2062,2062,橋椿,2.65,0.89,12.86,1.11,0,1,0,0,1,-1
2540,2540,愛山林,9.63,3.19,39.99,0.6,0,1,1,0,2,-1
3164,3164,景岳,5.87,0.99,65.79,3.45,0,1,1,0,2,-1
3419,3419,譁裕,-0.73,-0.08,19.58,1.1,0,0,0,0,0,-1
4133,4133,亞諾法,2.86,0.57,45.38,1.14,0,1,1,0,2,-1
1725,1725,元禎,7.25,1.32,4.71,4.01,0,1,0,0,1,-1
1528,1528,恩德,-0.13,-0.02,26.65,1.83,0,0,1,0,1,-1
3055,3055,蔚華科,-2.11,-0.56,17.86,2.05,0,0,0,0,0,-1
6598,6598,ABC-KY,-47.61,-3.69,50.63,0,0,0,1,0,1,-1
1516,1516,川飛,6.87,0.8,3.94,1.6,0,1,0,0,1,-1
1529,1529,樂士,7.89,0.61,20.35,1.61,0,1,1,0,2,-1
3311,3311,閎暉,-3.42,-1.21,13.3,3.85,0,0,0,0,0,-1
1473,1473,台南,-1.86,-0.33,12.8,1.71,0,0,0,0,0,-1
1470,1470,大統新創,5.55,0.62,21.86,3.04,0,1,1,0,2,-1
2434,2434,統懋,-31.59,-1.73,-28.21,0,0,0,0,0,0,-1
4746,4746,台耀,6.13,3.86,33.03,3.22,0,1,1,0,2,-1
1475,1475,業旺,-14.64,-2.74,-16.81,0,0,0,0,0,0,-1
2637,2637,慧洋-KY,8.61,3.64,26.01,4.14,0,1,1,0,2,-1
1324,1324,地球,1.63,0.22,15.98,2.56,0,1,0,0,1,-1
2426,2426,鼎元,9.28,1.3,19.3,4.53,0,1,0,0,1,-1
1731,1731,美吾華,6.59,0.9,58.27,4.13,0,1,1,0,2,-1
3043,3043,科風,-36.34,-0.01,21.16,3.08,0,0,1,0,1,-1
6605,6605,帝寶,6.39,5.2,25.74,2.33,0,1,1,0,2,-1
4576,4576,大銀微系統,6.49,1.52,34.6,0.53,0,1,1,0,2,-1
4545,4545,銘鈺,1.1,0.24,20.74,1.72,0,1,1,0,2,-1
1220,1220,台榮,5.92,0.74,13.71,4.44,0,1,0,0,1,-1
1104,1104,環泥,6.66,1.82,14.24,4.79,0,1,0,0,1,-1
2601,2601,益航,3.63,0.62,66.18,3.29,0,1,1,0,2,-1
2314,2314,台揚,-3.21,-0.28,15.39,0.2,0,0,0,0,0,-1
2903,2903,遠百,5.27,1.11,50.49,4.58,0,1,1,0,2,-1
8488,8488,吉源-KY,0.8,0.3,9.4,3.46,0,1,0,0,1,-1
4976,4976,佳凌,-0.99,-0.14,7.98,1.67,0,0,0,0,0,-1
8201,8201,無敵,-2.78,-0.42,14.33,2.41,0,0,0,0,0,-1
2419,2419,仲琦,7.26,0.86,20.77,3.05,0,1,1,0,2,-1
1213,1213,大飲,-9.02,-0.89,4.96,0,0,0,0,0,0,-1
1234,1234,黑松,4.23,1.88,26.54,4.96,0,1,1,0,2,-1
2462,2462,良得電,3.22,0.58,9.28,2.4,0,1,0,0,1,-1
2440,2440,太空梭,5.76,0.5,7.42,1,0,1,0,0,1,-1
9904,9904,寶成,8.94,3.71,24.7,4.64,0,1,1,0,2,-1
3094,3094,聯傑,4.19,0.57,67.91,3.02,0,1,1,0,2,-1
2013,2013,中鋼構,6.31,1.49,3.38,2.23,0,1,0,0,1,-1
1474,1474,弘裕,5.07,0.81,12.63,4,0,1,0,0,1,-1
3027,3027,盛達,-0.13,-0.04,32.99,0.63,0,0,1,0,1,-1
2727,2727,王品,6.3,3.7,45.77,3.67,0,1,1,0,2,-1
8105,8105,凌巨,-1.98,-0.33,9.72,0.89,0,0,0,0,0,-1
2358,2358,廷鑫,4.56,0.56,8.49,0.73,0,1,0,0,1,-1
1805,1805,寶徠,-8.24,-0.61,14.47,0.83,0,0,0,0,0,-1
2701,2701,萬企,3.79,0.62,58.36,2.38,0,1,1,0,2,-1
1443,1443,立益,-28.77,-0.56,18.36,0,0,0,0,0,0,-1
8467,8467,波力-KY,6.11,1.75,28.68,2.62,0,1,1,0,2,-1
1810,1810,和成,5.93,0.8,25.21,2.1,0,1,1,0,2,-1
2342,2342,茂矽,1.96,0.33,18.34,0.61,0,1,0,0,1,-1
3504,3504,揚明光,-1.04,-0.31,19.01,1.26,0,0,0,0,0,-1
2201,2201,裕隆,-1.34,-1.21,20.43,2.01,0,0,1,0,1,-1
1468,1468,昶和,0.76,0.06,10.45,0,0,1,0,0,1,-1
2364,2364,倫飛,-16.2,-0.13,25.9,0.21,0,0,1,0,1,-1
2206,2206,三陽工業,9.65,1.86,18.01,3.1,0,1,0,0,1,-1
6573,6573,虹揚-KY,-4.76,-0.48,11.54,1.63,0,0,0,0,0,-1
3296,3296,勝德,-0.38,-0.02,14.89,3.09,0,0,0,0,0,-1
1531,1531,高林股,2.28,0.47,18.67,3.38,0,1,0,0,1,-1
2104,2104,國際中橡,7.86,2.66,24.59,3.72,0,1,1,0,2,-1
4566,4566,時碩工業,9.51,2.77,21.25,2.81,0,1,1,0,2,-1
3062,3062,建漢,1.46,0.25,6.43,0.79,0,1,0,0,1,-1
2409,2409,友達,7.62,1.84,12.02,4.15,0,1,0,0,1,-1
6558,6558,興能高,9.39,1.39,22.4,4.22,0,1,1,0,2,-1
1616,1616,億泰,-0.69,-0.06,5.43,0,0,0,0,0,0,-1
5525,5525,順天,7.29,1.43,29.61,3.76,0,1,1,0,2,-1
9946,9946,三發地產,9.56,1.85,33.03,3.83,0,1,1,0,2,-1
8072,8072,陞泰,-0.63,-0.28,15.1,1.42,0,0,0,0,0,-1
6165,6165,浪凡,5.05,0.59,12.54,0.04,0,1,0,0,1,-1
2460,2460,建通,-0.54,-0.09,11.5,3.49,0,0,0,0,0,-1
2483,2483,百容,5.93,1.31,21.97,4.08,0,1,1,0,2,-1
3019,3019,亞光,8.08,3.25,19.45,3.34,0,1,0,0,1,-1
3605,3605,宏致,5.93,2.3,21.67,2.28,0,1,1,0,2,-1
9958,9958,世紀鋼,8.58,2.61,16.63,1.81,0,1,0,0,1,-1
9919,9919,康那香,7.8,1.11,19.46,4.41,0,1,0,0,1,-1
2328,2328,廣宇,8.46,1.75,9.52,2.66,0,1,0,0,1,-1
2731,2731,雄獅,-1.4,0.19,13.34,4.24,0,1,0,0,1,-1
3031,3031,佰鴻,6.22,1.03,25.01,4.83,0,1,1,0,2,-1
1733,1733,五鼎,6.98,1.19,25.53,4.33,0,1,1,0,2,-1
1783,1783,和康生,6.44,0.81,45.22,1.02,0,1,1,0,2,-1
2387,2387,精元,7.13,2.65,13.33,3.79,0,1,0,0,1,-1
1419,1419,新紡,6.16,1.82,25.76,3.8,0,1,1,0,2,-1
9907,9907,統一實,5.31,0.68,10.77,2.78,0,1,0,0,1,-1
6120,6120,達運,-2.87,-0.41,3.06,4.18,0,0,0,0,0,-1
1402,1402,遠東新,5.81,1.95,19.83,4.62,0,1,0,0,1,-1
1614,1614,三洋電,5.27,1.07,20.08,2.58,0,1,1,0,2,-1
8222,8222,寶一,-0.81,-0.07,11.05,2.45,0,0,0,0,0,-1
2413,2413,環科,-3.33,-0.43,15.14,0.86,0,0,0,0,0,-1
6139,6139,亞翔,5.02,2.07,6.96,4.61,0,1,0,0,1,-1
3518,3518,柏騰,-8.67,-2.01,18.44,4.23,0,0,0,0,0,-1
1760,1760,寶齡富錦,9.25,1.44,53.82,1.05,0,1,1,0,2,-1
2239,2239,英利-KY,8.89,6.96,17.57,4.02,0,1,0,0,1,-1
6243,6243,迅杰,-8.27,-0.47,24.89,3.05,0,0,1,0,1,-1
4142,4142,國光生,-9.63,-0.72,-1.54,0.26,0,0,0,0,0,-1
6451,6451,訊芯-KY,7.26,4.14,23.26,3.1,0,1,1,0,2,-1
1711,1711,永光,4.41,0.66,22.02,2.09,0,1,1,0,2,-1
2362,2362,藍天,2.77,1.87,22.77,2.84,0,1,1,0,2,-1
2415,2415,錩新,7.09,1.38,26.54,3.03,0,1,1,0,2,-1
3704,3704,合勤控,1.97,0.39,22.37,1.29,0,1,1,0,2,-1
1903,1903,士紙,-4.4,-0.44,33.51,0,0,0,1,0,1,-1
6153,6153,嘉聯益,2.65,0.67,12.86,0.81,0,1,0,0,1,-1
1786,1786,科妍,7.38,1.54,67.17,2.37,0,1,1,0,2,-1
5469,5469,瀚宇博,9.54,4.94,17.39,4.89,0,1,0,0,1,-1
5225,5225,東科-KY,4.51,1.22,10.41,3.09,0,1,0,0,1,-1
4104,4104,佳醫,6.93,3.81,19.67,4.89,0,1,0,0,1,-1
1337,1337,再生-KY,-11.37,-3.06,-24.86,3.47,0,0,0,0,0,-1
8046,8046,南電,6.79,3.72,9.75,1.26,0,1,0,0,1,-1
1714,1714,和桐,6.61,0.6,12.57,3.34,0,1,0,0,1,-1
1735,1735,日勝化,3.83,0.55,15.87,3.09,0,1,0,0,1,-1
3054,3054,立萬利,1.85,0.22,0.01,3.71,0,1,0,0,1,-1
3058,3058,立德,-6.87,-0.81,11.54,2.8,0,0,0,0,0,-1
6155,6155,鈞寶,5.22,0.85,27.41,3.63,0,1,1,0,2,-1
3021,3021,鴻名,9.85,1.27,22.41,2.8,0,1,1,0,2,-1
3701,3701,大眾控,5.73,0.58,12.75,0,0,1,0,0,1,-1
2101,2101,南港,4.76,0.64,18.67,1.24,0,1,0,0,1,-1
2705,2705,六福,-26.89,-2.66,17.77,0.25,0,0,0,0,0,-1
2105,2105,正新,5.89,1.47,22.8,3.61,0,1,1,0,2,-1
9906,9906,欣巴巴,3.5,0.41,25.25,0.27,0,1,1,0,2,-1
2486,2486,一詮,-1.76,-0.26,11.62,3.46,0,0,0,0,0,-1
9908,9908,大台北,6.92,1.59,22.48,3.36,0,1,1,0,2,-1
6426,6426,統新,6.55,1.89,44.26,2.38,0,1,1,0,2,-1
1907,1907,永豐餘,7.88,1.9,18.37,4.14,0,1,0,0,1,-1
4739,4739,康普,8.86,3.57,11.39,1.89,0,1,0,0,1,-1
1709,1709,和益,7.17,1.14,16.75,4.36,0,1,0,0,1,-1
2102,2102,泰豐,-13.11,-2.1,2.03,0.61,0,0,0,0,0,-1
4555,4555,氣立,5.81,2.22,35.78,3.15,0,1,1,0,2,-1
2612,2612,中航,4.6,2.34,20.81,4.11,0,1,1,0,2,-1
2610,2610,華航,3.9,0.44,11.95,1.92,0,1,0,0,1,-1
1535,1535,中宇,6.63,1.64,6.39,3.35,0,1,0,0,1,-1
1414,1414,東和,2.34,0.33,9.5,1.74,0,1,0,0,1,-1
1708,1708,東鹼,6.85,1.79,26.22,2.1,0,1,1,0,2,-1
6405,6405,悅城,2.07,0.65,18.65,3.74,0,1,0,0,1,-1
5484,5484,慧友,-12.9,-1.06,16.81,2.32,0,0,0,0,0,-1
6288,6288,聯嘉,5.36,0.7,19.59,2.28,0,1,0,0,1,-1
2901,2901,欣欣,2.7,0.32,85.71,1.2,0,1,1,0,2,-1
3576,3576,聯合再生,-19.85,-1.97,-6.51,4.56,0,0,0,0,0,-1
5607,5607,遠雄港,9.16,2.08,54.82,1.71,0,1,1,0,2,-1
4426,4426,利勤,2.7,0.6,10.89,1.6,0,1,0,0,1,-1
2605,2605,新興,2.43,0.52,21.12,2.38,0,1,1,0,2,-1
6133,6133,金橋,-0.03,0.01,18.92,1.03,0,1,0,0,1,-1
3437,3437,榮創,-3.59,-0.72,9.77,4.64,0,0,0,0,0,-1
1618,1618,合機,2.86,0.53,8.77,2.63,0,1,0,0,1,-1
4935,4935,茂林-KY,10.02,5.22,17.74,4.58,1,1,0,0,2,-1
2453,2453,凌群,7.1,1.34,22.78,4.45,0,1,1,0,2,-1
1539,1539,巨庭,8.88,1.68,10.71,3.01,0,1,0,0,1,-1
8926,8926,台汽電,7.86,1.6,12.35,4.35,0,1,0,0,1,-1
4306,4306,炎洲,4.41,0.88,14,4.24,0,1,0,0,1,-1
2369,2369,菱生,0.54,0.05,7.75,3.69,0,1,0,0,1,-1
1538,1538,正峰,-52.11,-2.39,13.51,0,0,0,0,0,0,-1
1802,1802,台玻,6.39,1.08,17.92,3.84,0,1,0,0,1,-1
2706,2706,第一店,4.03,0.71,73.7,2.04,0,1,1,0,2,-1
2241,2241,艾姆勒,0.65,0.03,20.48,0.91,0,1,1,0,2,-1
2606,2606,裕民,8.2,2.38,17.09,4.92,0,1,0,0,1,-1
6668,6668,中揚光,6.91,1.29,37.53,2.21,0,1,1,0,2,-1
2538,2538,基泰,-1.26,-0.22,52.92,4.07,0,0,1,0,1,-1
6116,6116,彩晶,9.53,1.33,24.71,4.57,0,1,1,0,2,-1
4906,4906,正文,5.52,1.45,10.39,4.04,0,1,0,0,1,-1
8103,8103,瀚荃,8.53,2.75,29.89,3.49,0,1,1,0,2,-1
8110,8110,華東,3.17,0.69,6.71,2.77,0,1,0,0,1,-1
6225,6225,天瀚,-159.53,-0.1,-67.76,0,0,0,0,0,0,-1
3051,3051,力特,3.54,0.66,21.35,0,0,1,1,0,2,-1
2332,2332,友訊,2.48,0.27,28.43,1.61,0,1,1,0,2,-1
6215,6215,和椿,8.05,1.2,26.2,3.31,0,1,1,0,2,-1
2722,2722,夏都,2.75,0.48,41.52,0.91,0,1,1,0,2,-1
3037,3037,欣興,9.12,3.28,14.18,1.03,0,1,0,0,1,-1
4164,4164,承業醫,4.92,1.9,31.26,4.02,0,1,1,0,2,-1
5243,5243,乙盛-KY,7.55,2.62,15.66,2.62,0,1,0,0,1,-1
9928,9928,中視,-23.19,-0.98,-5.87,0,0,0,0,0,0,-1
6289,6289,華上,-215.93,-0.51,-108.8,0,0,0,0,0,0,-1
2109,2109,華豐,1.21,-0.21,20.27,2.57,0,0,1,0,1,-1
6117,6117,迎廣,-4.85,-0.5,16.15,2.69,0,0,0,0,0,-1
5284,5284,jpp-KY,8.5,3.4,33.05,4.68,0,1,1,0,2,-1
4934,4934,太極,-30.28,-2.89,-8.41,1.39,0,0,0,0,0,-1
2465,2465,麗臺,7.45,1.21,14.31,0.67,0,1,0,0,1,-1
2317,2317,鴻海,9.97,8.35,6.06,3.63,0,1,0,0,1,-1
4737,4737,華廣,5.07,1.82,44.06,2.99,0,1,1,0,2,-1
6205,6205,詮欣,7.56,1.9,30.7,2.03,0,1,1,0,2,-1
3011,3011,今皓,-4.24,-0.44,10.39,0.25,0,0,0,0,0,-1
3047,3047,訊舟,2.28,-0.11,24.83,2.25,0,0,1,0,1,-1
8021,8021,尖點,6.26,1.93,29.74,4.83,0,1,1,0,2,-1
6442,6442,光聖,2.5,0.75,17.44,2.46,0,1,0,0,1,-1
9902,9902,台火,3.04,0.39,5.14,3.15,0,1,0,0,1,-1
1465,1465,偉全,7.99,0.43,9.22,4.23,0,1,0,0,1,-1
3149,3149,正達,-7.51,-0.57,-0.35,3.27,0,0,0,0,0,-1
1313,1313,聯成,6.4,1.16,6.24,5.04,0,1,0,1,2,-1
3346,3346,麗清,7.92,1.64,17.02,3.77,0,1,0,0,1,-1
1734,1734,杏輝,-4.48,-0.01,37.54,0.55,0,0,1,0,1,-1
4956,4956,光鋐,0.19,0.04,17.28,3.02,0,1,0,0,1,-1
6209,6209,今國光,-3.93,-0.85,5.26,3.1,0,0,0,0,0,-1
3591,3591,艾笛森,-1.75,-0.46,18.19,1.61,0,0,0,0,0,-1
5531,5531,鄉林,0.78,0.09,32.3,0,0,1,1,0,2,-1
2913,2913,農林,-0.96,-0.17,38.11,2.36,0,0,1,0,1,-1
3454,3454,晶睿,8.86,3.49,32.71,1.94,0,1,1,0,2,-1
6585,6585,鼎基,4.11,1.55,20.03,3.37,0,1,1,0,2,-1
2017,2017,官田鋼,3.83,0.61,13.62,2.99,0,1,0,0,1,-1
2516,2516,新建,-8.91,-0.92,-2.15,4.85,0,0,0,0,0,-1
2530,2530,華建,-1.71,-0.22,48.64,3.79,0,0,1,0,1,-1
2032,2032,新鋼,3.75,0.49,5.59,2.26,0,1,0,0,1,-1
6191,6191,精成科,8.48,2.62,15.28,2.87,0,1,0,0,1,-1
1504,1504,東元,6.14,1.8,23.94,3.6,0,1,1,0,2,-1
3588,3588,通嘉,6.58,1.88,35.69,2.12,0,1,1,0,2,-1
2543,2543,皇昌,-0.29,-0.06,0.65,1.28,0,0,0,0,0,-1
1339,1339,昭輝,6.77,3.27,28.15,4.64,0,1,1,0,2,-1
2009,2009,第一銅,3.31,0.42,2.85,2.97,0,1,0,0,1,-1
2106,2106,建大,4.11,0.88,20.6,2.8,0,1,1,0,2,-1
2363,2363,矽統,-2.25,-0.28,33.86,3.12,0,0,1,0,1,-1
2515,2515,中工,3.98,0.55,7.97,2.94,0,1,0,0,1,-1
1437,1437,勤益控,7.49,2.23,69.77,2.96,0,1,1,0,2,-1
1568,1568,倉佑,4.54,0.69,12.8,1.76,0,1,0,0,1,-1
1219,1219,福壽,4.47,0.79,8.7,2.79,0,1,0,0,1,-1
1713,1713,國化,4.6,0.71,13.16,2.61,0,1,0,0,1,-1
1321,1321,大洋,3.18,0.9,6.71,0.94,0,1,0,0,1,-1
1809,1809,中釉,-0.81,-0.09,19.01,1.72,0,0,0,0,0,-1
6431,6431,光麗-KY,-11.05,-1.07,-16.3,4.8,0,0,0,0,0,-1
1413,1413,宏洲,7.79,0.56,4.13,0,0,1,0,0,1,-1
2303,2303,聯電,8.17,1.84,20.69,3.41,0,1,1,0,2,-1
2906,2906,高林,3.87,0.25,24.05,2.1,0,1,1,0,2,-1
2338,2338,光罩,9.96,2.37,19.99,1.57,0,1,0,0,1,-1
2010,2010,春源,4.74,0.81,6.73,4.02,0,1,0,0,1,-1
1722,1722,台肥,4.51,2.34,21.9,3.75,0,1,1,0,2,-1
3494,3494,誠研,-24.66,-1.87,5.05,4.57,0,0,0,0,0,-1
3016,3016,嘉晶,5.37,0.76,11.54,0.76,0,1,0,0,1,-1
6477,6477,安集,9.77,1.87,20.58,1.4,0,1,1,0,2,-1
1517,1517,利奇,4.34,0.61,13.63,1.48,0,1,0,0,1,-1
3536,3536,誠創,-35.53,-1.17,6.74,0,0,0,0,0,0,-1
2511,2511,太子,4.61,0.72,25,4.58,0,1,1,0,2,-1
1457,1457,宜進,8.16,1.89,11.57,3.89,0,1,0,0,1,-1
3050,3050,鈺德,4.88,0.74,34.66,3.28,0,1,1,0,2,-1
2618,2618,長榮航,6.23,0.87,13.21,1.06,0,1,0,0,1,-1
1472,1472,三洋實業,-29.36,-2.26,7.4,0,0,0,0,0,0,-1
3535,3535,晶彩科,1.4,0.17,25.06,2.5,0,1,1,0,2,-1
1218,1218,泰山,9.53,1.22,17.74,2.52,0,1,0,0,1,-1
2405,2405,浩鑫,-0.13,-0.02,25.12,1.73,0,0,1,0,1,-1
4108,4108,懷特,-8.82,-0.87,51.72,0,0,0,1,0,1,-1
2506,2506,太設,0.99,0.05,41.23,1.83,0,1,1,0,2,-1
8429,8429,金麗-KY,0.77,0.33,9.29,2.81,0,1,0,0,1,-1
3025,3025,星通,4.35,0.5,48.73,2.44,0,1,1,0,2,-1
3046,3046,建碁,-6.52,-0.95,24.68,0.19,0,0,1,0,1,-1
3543,3543,州巧,-0.32,-0.07,13.57,4.24,0,0,0,0,0,-1
5906,5906,台南-KY,8.42,1.02,57.25,1.72,0,1,1,0,2,-1
3052,3052,夆典,4.47,0.66,5.43,4.93,0,1,0,0,1,-1
1423,1423,利華,4.52,0.86,-16.51,4.56,0,1,0,0,1,-1
6271,6271,同欣電,9.63,7.98,26.69,2.84,0,1,1,0,2,-1
2305,2305,全友,5.45,0.52,32.17,0,0,1,1,0,2,-1
1233,1233,天仁,7.91,1.34,57.08,4.39,0,1,1,0,2,-1
2402,2402,毅嘉,1.48,0.28,9.32,4.5,0,1,0,0,1,-1
1721,1721,三晃,4.47,0.48,7.34,1.66,0,1,0,0,1,-1
2349,2349,錸德,-10.62,-1.19,9.03,0,0,0,0,0,0,-1
2504,2504,國產,9.62,1.5,11.24,3.47,0,1,0,0,1,-1
2443,2443,昶虹,-32.98,-1.98,-9.78,0,0,0,0,0,0,-1
1587,1587,吉茂,5.4,1.01,22.96,2.65,0,1,1,0,2,-1
4994,4994,傳奇,6.02,0.89,62.59,3.45,0,1,1,0,2,-1
1506,1506,正道,-16.45,-1.1,8.88,0,0,0,0,0,0,-1
2484,2484,希華,7.05,1.4,21.48,3.1,0,1,1,0,2,-1
1467,1467,南緯,-1.46,-0.16,20.02,3.39,0,0,1,0,1,-1
2427,2427,三商電,5.21,0.62,29.42,2.62,0,1,1,0,2,-1
2029,2029,盛餘,5.22,1.49,9.82,4.05,0,1,0,0,1,-1
3002,3002,歐格,2.31,0.33,26.51,2.63,0,1,1,0,2,-1
1446,1446,宏和,-1.13,-0.13,19.03,0.82,0,0,0,0,0,-1
1519,1519,華城,7.77,1,14.05,1.99,0,1,0,0,1,-1
1514,1514,亞力,8.45,1.24,16.51,2.15,0,1,0,0,1,-1
3550,3550,聯穎,4.7,1.06,18.67,5.07,0,1,0,1,2,-1
1451,1451,年興,1.03,0.34,6.65,5.18,0,1,0,1,2,-1
1776,1776,展宇,6.4,0.88,17.1,6.23,0,1,0,1,2,-1
6152,6152,百一,-8.4,-0.89,13.15,14.95,0,0,0,1,1,-1
2498,2498,宏達電,-12.4,-5.66,16.53,26.23,0,0,0,1,1,-1
2316,2316,楠梓電,4.89,1.79,6.69,6.19,0,1,0,1,2,-1
3266,3266,昇陽,1.55,0.33,18.23,6.05,0,1,0,1,2,-1
2204,2204,中華,5.69,3.39,16.53,7.46,0,1,0,1,2,-1
1710,1710,東聯,4.84,0.77,8.14,5.21,0,1,0,1,2,-1
1452,1452,宏益,8.16,1.56,15.33,7.18,0,1,0,1,2,-1
2392,2392,正崴,4.13,2.77,10.25,5.49,0,1,0,1,2,-1
2324,2324,仁寶,8.35,2,3.39,6.26,0,1,0,1,2,-1
1909,1909,榮成,7.11,1.48,16.05,5.74,0,1,0,1,2,-1
1512,1512,瑞利,-71.55,-1.47,3.53,6.12,0,0,0,1,1,-1
9905,9905,大華,7.27,1.75,14.13,5.3,0,1,0,1,2,-1
1530,1530,亞崴,8.65,2.36,18.49,5.42,0,1,0,1,2,-1
3060,3060,銘異,-4.96,-1.04,7.67,9.5,0,0,0,1,1,-1
1340,1340,勝悅-KY,-1.69,-0.24,-13,9.4,0,0,0,1,1,-1
3607,3607,谷崧,-13.63,-4.07,0.96,9.13,0,0,0,1,1,-1
3673,3673,TPK-KY,2.97,2.57,4.42,6.18,0,1,0,1,2,-1
1314,1314,中石化,5.13,1.21,9.95,6.8,0,1,0,1,2,-1
1626,1626,艾美特-KY,0.68,0.19,16.38,5.23,0,1,0,1,2,-1
2929,2929,淘帝-KY,-1.56,1.7,12.22,29.47,0,1,0,1,2,-1
2353,2353,宏碁,8.39,1.69,10.89,5.56,0,1,0,1,2,-1
2034,2034,允強,9.91,1.93,11.24,5.32,0,1,0,1,2,-1
2485,2485,兆赫,-1.14,-0.19,6.19,6.72,0,0,0,1,1,-1
2356,2356,英業達,9.33,1.83,4.61,6.55,0,1,0,1,2,-1
2489,2489,瑞軒,6.82,1.22,9.76,11.48,0,1,0,1,2,-1
1108,1108,幸福,1.71,0.21,8.77,5.47,0,1,0,1,2,-1
1608,1608,華榮,6.86,1.1,5.16,6.14,0,1,0,1,2,-1
4930,4930,燦星網,4.45,0.66,15.68,10.23,0,1,0,1,2,-1
1439,1439,中和,6.67,1.68,1.5,6.72,0,1,0,1,2,-1
6108,6108,競國,7.14,1.68,13.95,8.54,0,1,0,1,2,-1
2537,2537,聯上發,1.44,0.2,19.87,8.6,0,1,0,1,2,-1
8249,8249,菱光,5.71,1.54,13.49,6.06,0,1,0,1,2,-1
3015,3015,全漢,3.94,2.06,11.95,5.43,0,1,0,1,2,-1
4532,4532,瑞智,8.43,1.62,13.37,5.3,0,1,0,1,2,-1
5706,5706,鳳凰,11.23,2,19.6,2,1,1,0,0,2,-1
6278,6278,台表科,14.39,6.5,11.19,3.22,1,1,0,0,2,-1
2247,2247,汎德永業,10.21,12.79,11.81,4.59,1,1,0,0,2,-1
9937,9937,全國,15.09,2.44,11.49,4.2,1,1,0,0,2,-1
2301,2301,光寶科,11.79,3.78,15.46,3.67,1,1,0,0,2,-1
9930,9930,中聯資源,15.71,3.19,15.57,4.03,1,1,0,0,2,-1
2351,2351,順德,11.94,3.56,17.99,2.02,1,1,0,0,2,-1
6416,6416,瑞祺電通,15.27,4.72,19.95,3.21,1,1,0,0,2,-1
2352,2352,佳世達,13.25,2.66,13.25,4.79,1,1,0,0,2,-1
4967,4967,十銓,12.35,1.8,7.04,3.58,1,1,0,0,2,-1
4915,4915,致伸,14.84,4.6,12.2,4.07,1,1,0,0,2,-1
5285,5285,界霖,13.56,3.47,17.24,3.89,1,1,0,0,2,-1
2313,2313,華通,15.24,3.29,16.66,2.53,1,1,0,0,2,-1
9931,9931,欣高,10.13,1.91,18.19,2.9,1,1,0,0,2,-1
1225,1225,福懋油,10.42,1.53,9.28,2.57,1,1,0,0,2,-1
6285,6285,啟碁,10.64,4.33,11.87,3.44,1,1,0,0,2,-1
1315,1315,達新,13.36,7.55,16.17,4.41,1,1,0,0,2,-1
5288,5288,豐祥-KY,19.29,8.55,18.21,2.78,1,1,0,0,2,-1
1210,1210,大成,12.03,3.05,13.62,4.11,1,1,0,0,2,-1
6141,6141,柏承,13.18,2.14,17.38,2.18,1,1,0,0,2,-1
6669,6669,緯穎,48.52,36.97,6.81,2.62,1,1,0,0,2,-1
1808,1808,潤隆,17.52,3.44,19.95,4.49,1,1,0,0,2,-1
1615,1615,大山,14.56,2.24,13.05,4.24,1,1,0,0,2,-1
2006,2006,東和鋼鐵,10.32,2.73,12.22,4.41,1,1,0,0,2,-1
2012,2012,春雨,11.96,1.56,16.37,3.95,1,1,0,0,2,-1
6282,6282,康舒,10.91,1.83,15.41,3.6,1,1,0,0,2,-1
9914,9914,美利達,18.33,9.13,13.3,2.4,1,1,0,0,2,-1
6552,6552,易華電,11.43,2.59,18.75,4.14,1,1,0,0,2,-1
9935,9935,慶豐富,13.16,1.36,18.58,2.56,1,1,0,0,2,-1
8215,8215,明基材,11.47,1.54,15.84,2.74,1,1,0,0,2,-1
3596,3596,智易,11.5,6.33,13.57,4.11,1,1,0,0,2,-1
8454,8454,富邦媒,27.85,12.25,10.09,1.42,1,1,0,0,2,-1
4439,4439,冠星-KY,23.37,12.12,17.48,3.39,1,1,0,0,2,-1
6196,6196,帆宣,14.98,5.01,11.28,2.68,1,1,0,0,2,-1
1309,1309,台達化,18.21,2.76,11.11,4.24,1,1,0,0,2,-1
3010,3010,華立,14.31,7.62,8.27,4.62,1,1,0,0,2,-1
2345,2345,智邦,33.7,7.29,19.57,1.98,1,1,0,0,2,-1
4927,4927,泰鼎-KY,12.9,4.81,17.59,4.59,1,1,0,0,2,-1
5434,5434,崇越,18.27,9.44,12.13,3.99,1,1,0,0,2,-1
1232,1232,大統益,25.42,6.54,11.65,3.45,1,1,0,0,2,-1
9802,9802,鈺齊-KY,13.25,6,19.3,1.4,1,1,0,0,2,-1
